Time,Date,Merchant,Gateway,Amount,Status,UTR,TXID
7:17:16 PM,9/26/2024,gennpay,airpay,2000,failed,,429863350
7:17:17 PM,9/26/2024,gennpay,airpay,2000,failed,427012778819,429863364
7:17:23 PM,9/26/2024,gennpay,airpay,500,success,427000672930,429863403
7:17:39 PM,9/26/2024,gennpay,airpay,2000,success,427036395795,429863532
7:17:45 PM,9/26/2024,gennpay,airpay,2000,failed,427063675474,429863581
7:18:08 PM,9/26/2024,gennpay,airpay,500,success,427025272666,429863767
7:18:22 PM,9/26/2024,gennpay,airpay,1000,success,427084324839,429863879
7:18:37 PM,9/26/2024,gennpay,airpay,600,success,282477542696,429864004
7:19:19 PM,9/26/2024,gennpay,airpay,1000,success,427051325527,429864523
7:19:59 PM,9/26/2024,gennpay,airpay,500,success,427096324315,429864959
7:20:09 PM,9/26/2024,gennpay,airpay,500,success,427072453228,429865058
7:20:16 PM,9/26/2024,gennpay,airpay,500,success,463684595656,429865139
7:20:27 PM,9/26/2024,gennpay,airpay,500,failed,,429865264
7:20:33 PM,9/26/2024,gennpay,airpay,500,success,427012984472,429865337
7:20:41 PM,9/26/2024,gennpay,airpay,500,failed,,429865489
7:20:43 PM,9/26/2024,gennpay,airpay,500,success,427088209854,429865550
7:20:45 PM,9/26/2024,gennpay,airpay,500,failed,,429865604
7:20:50 PM,9/26/2024,gennpay,airpay,600,success,020242423912,429865744
7:20:55 PM,9/26/2024,gennpay,airpay,1500,success,427046005031,429865867
7:21:33 PM,9/26/2024,gennpay,airpay,620,success,927158048243,429866508
7:21:50 PM,9/26/2024,gennpay,airpay,500,success,252419357851,429866677
7:21:52 PM,9/26/2024,gennpay,airpay,500,success,427093495525,429866700
7:22:03 PM,9/26/2024,gennpay,airpay,2500,success,427029896347,429866916
7:22:09 PM,9/26/2024,gennpay,airpay,600,failed,,429867066
7:22:31 PM,9/26/2024,gennpay,airpay,508,failed,,429867672
7:22:40 PM,9/26/2024,gennpay,airpay,1500,success,427037211630,429867812
7:23:00 PM,9/26/2024,gennpay,airpay,1000,success,427057104226,429868106
7:23:03 PM,9/26/2024,gennpay,airpay,600,success,427019696956,429868153
7:23:24 PM,9/26/2024,gennpay,airpay,500,success,427044985920,429868440
7:23:39 PM,9/26/2024,gennpay,airpay,1000,success,427068152360,429868659
7:23:50 PM,9/26/2024,gennpay,airpay,500,success,427093646942,429868821
7:23:52 PM,9/26/2024,gennpay,airpay,1500,failed,,429868853
7:23:56 PM,9/26/2024,gennpay,airpay,1000,success,120524796096,429868925
7:24:14 PM,9/26/2024,gennpay,airpay,3500,failed,,429869186
7:24:29 PM,9/26/2024,gennpay,airpay,500,success,427084745068,429869388
7:24:29 PM,9/26/2024,gennpay,airpay,900,success,427070266803,429869399
7:24:39 PM,9/26/2024,gennpay,airpay,2000,success,427066276310,429869525
7:25:06 PM,9/26/2024,gennpay,airpay,500,success,301290904875,429869955
7:25:15 PM,9/26/2024,gennpay,airpay,500,success,427043503474,429870107
7:25:28 PM,9/26/2024,gennpay,airpay,1000,success,651946641834,429870302
7:25:38 PM,9/26/2024,gennpay,airpay,500,success,427045917082,429870446
7:25:44 PM,9/26/2024,gennpay,airpay,2000,success,427030130057,429870534
7:25:55 PM,9/26/2024,gennpay,airpay,500,success,228147689815,429870700
7:26:12 PM,9/26/2024,gennpay,airpay,500,success,427004012803,429870941
7:26:26 PM,9/26/2024,gennpay,airpay,600,success,427028413864,429871126
7:26:46 PM,9/26/2024,gennpay,airpay,500,success,485630342356,429871424
7:27:46 PM,9/26/2024,gennpay,airpay,750,success,427047254745,429872363
7:28:17 PM,9/26/2024,gennpay,airpay,500,success,964912520560,429872847
7:28:48 PM,9/26/2024,gennpay,airpay,500,success,427067590649,429873311
7:28:56 PM,9/26/2024,gennpay,airpay,500,success,427006940292,429873443
7:29:11 PM,9/26/2024,gennpay,airpay,900,failed,,429873671
7:30:14 PM,9/26/2024,gennpay,airpay,1500,success,427001406320,429874625
8:57:17 PM,9/26/2024,gennpay,airpay,500,success,427073788799,429963319
8:57:23 PM,9/26/2024,gennpay,airpay,500,success,427059985525,429963492
8:57:43 PM,9/26/2024,gennpay,airpay,500,success,427082298388,429964062
8:57:54 PM,9/26/2024,gennpay,airpay,500,success,019472999535,429964379
8:57:57 PM,9/26/2024,gennpay,airpay,1200,failed,,429964425
8:58:35 PM,9/26/2024,gennpay,airpay,500,success,427006624656,429965583
8:58:38 PM,9/26/2024,gennpay,airpay,500,success,427080194679,429965677
8:58:41 PM,9/26/2024,gennpay,airpay,1000,success,427035622961,429965762
8:58:44 PM,9/26/2024,gennpay,airpay,650,success,427032926485,429965855
8:58:45 PM,9/26/2024,gennpay,airpay,500,success,427046994976,429965859
8:58:50 PM,9/26/2024,gennpay,airpay,2000,failed,427090626733,429966053
8:58:50 PM,9/26/2024,gennpay,airpay,500,success,427007056467,429966059
8:59:08 PM,9/26/2024,gennpay,airpay,2000,success,427074113255,429966587
8:59:10 PM,9/26/2024,gennpay,airpay,500,success,427024350071,429966653
8:59:26 PM,9/26/2024,gennpay,airpay,1000,success,427041265675,429967152
8:59:27 PM,9/26/2024,gennpay,airpay,2000,success,427047008835,429967214
8:59:28 PM,9/26/2024,gennpay,airpay,500,success,427065306031,429967230
8:59:31 PM,9/26/2024,gennpay,airpay,2000,success,427046605344,429967327
8:59:35 PM,9/26/2024,gennpay,airpay,560,failed,,429967462
8:59:44 PM,9/26/2024,gennpay,airpay,500,success,427003615783,429967702
8:59:49 PM,9/26/2024,gennpay,airpay,2700,success,427001448336,429967752
8:59:52 PM,9/26/2024,gennpay,airpay,500,success,422498544414,429967774
8:59:56 PM,9/26/2024,gennpay,airpay,500,success,427074485555,429967803
9:00:00 PM,9/26/2024,gennpay,airpay,600,success,427083430208,429967837
9:00:03 PM,9/26/2024,gennpay,airpay,600,success,427024943697,429967870
9:00:08 PM,9/26/2024,gennpay,airpay,6000,success,427033048130,429967944
9:00:13 PM,9/26/2024,gennpay,airpay,2000,success,427098742246,429968004
9:00:15 PM,9/26/2024,gennpay,airpay,500,failed,,429968031
9:00:16 PM,9/26/2024,gennpay,airpay,500,success,427044766800,429968047
9:00:20 PM,9/26/2024,gennpay,airpay,750,success,463603941701,429968073
9:00:22 PM,9/26/2024,gennpay,airpay,520,success,463612609882,429968098
9:00:22 PM,9/26/2024,gennpay,airpay,1000,success,096750748305,429968100
9:00:32 PM,9/26/2024,gennpay,airpay,500,success,427049069985,429968190
9:00:44 PM,9/26/2024,gennpay,airpay,1100,success,396471847438,429968291
9:00:46 PM,9/26/2024,gennpay,airpay,1000,success,427073162138,429968313
